	num	smape
31	32	0.405389
0	1	0.422636
30	31	0.771482
32	33	1.039598
15	16	1.423391
2	3	2.601151
8	9	2.602372
46	47	2.677815
1	2	2.717621
50	51	2.731604
43	44	2.996899
51	52	3.048094
37	38	3.063547
59	60	3.272597
53	54	3.294923
19	20	3.329040
21	22	3.364257
35	36	3.374578
49	50	3.476955
36	37	3.490694
57	58	3.506211
20	21	3.506869
48	49	3.644755
18	19	3.670952
5	6	3.759094
23	24	3.905177
12	13	3.988605
25	26	4.039189
13	14	4.101071
16	17	4.145301
10	11	4.297553
54	55	4.364376
11	12	4.517433
45	46	4.625463
52	53	4.631078
22	23	4.965310
9	10	5.084537
27	28	5.167241
42	43	5.455432
38	39	5.548752
7	8	5.579059
6	7	5.613398
44	45	5.669151
40	41	5.669871
34	35	5.729135
4	5	5.815895
56	57	6.520465
55	56	6.538495
33	34	7.044374
47	48	7.103416
28	29	7.477494
29	30	7.963928
17	18	8.112843
24	25	8.132229
14	15	8.518308
39	40	9.656837
41	42	11.593393
26	27	11.788338
58	59	12.444947
3	4	16.679429
